generation,specimen_id,total_fitness,alive_bonus,joints_at_limits,speed,distance
1,44,228.34,231.0,-2.6599999999999957,0.0,0.0
1,45,287.90000000000003,293.0,-5.099999999999978,0.0,0.0
1,46,162.12,164.0,-1.8800000000000012,0.0,0.0
1,47,172.61,177.0,-4.389999999999998,0.0,0.0
1,48,167.46,171.0,-3.5400000000000005,0.0,0.0
1,49,162.4,164.0,-1.600000000000001,0.0,0.0
1,,149.48,152.0,-2.5200000000000014,0.0,0.0
1,,140.16,144.0,-3.8399999999999985,0.0,0.0
1,,209.72,214.0,-4.279999999999997,0.0,0.0
1,,188.72,191.0,-2.280000000000001,0.0,0.0
1,,326.76,331.0,-4.239999999999994,0.0,0.0
1,,138.8,141.0,-2.200000000000001,0.0,0.0
1,,179.86,183.0,-3.1399999999999992,0.0,0.0
1,,205.26,208.0,-2.7399999999999953,0.0,0.0
1,,490.1000000000001,501.0,-10.89999999999993,0.0,0.0
1,,151.17,155.0,-3.829999999999999,0.0,0.0
1,,240.89000000000001,246.0,-5.109999999999984,0.0,0.0
1,,175.66,178.0,-2.339999999999999,0.0,0.0
1,,202.38,206.0,-3.6199999999999957,0.0,0.0
1,,190.81,193.0,-2.1900000000000013,0.0,0.0
1,,154.23,156.0,-1.7700000000000014,0.0,0.0
1,,137.56,139.0,-1.440000000000001,0.0,0.0
1,,175.43,177.0,-1.5700000000000012,0.0,0.0
1,,139.05,141.0,-1.9500000000000013,0.0,0.0
1,,177.27,181.0,-3.7299999999999978,0.0,0.0
1,,250.73000000000002,254.0,-3.269999999999996,0.0,0.0
1,,330.52,335.0,-4.47999999999999,0.0,0.0
1,,227.65,231.0,-3.3499999999999974,0.0,0.0
1,,226.87,230.0,-3.1299999999999977,0.0,0.0
1,,201.74,205.0,-3.2599999999999922,0.0,0.0
1,,137.18,139.0,-1.8200000000000014,0.0,0.0
2,25,146.4,148.0,-1.6000000000000012,0.0,0.0
2,26,149.69,153.0,-3.31,0.0,0.0
2,27,121.46,123.0,-1.5400000000000011,0.0,0.0
2,28,200.72,203.0,-2.280000000000001,0.0,0.0
2,29,184.41,186.0,-1.5900000000000012,0.0,0.0
2,30,146.75,148.0,-1.2500000000000009,0.0,0.0
2,31,130.52,132.0,-1.480000000000001,0.0,0.0
2,32,156.02,158.0,-1.9800000000000015,0.0,0.0
2,33,180.97,184.0,-3.030000000000001,0.0,0.0
2,34,137.19,139.0,-1.8100000000000014,0.0,0.0
2,35,182.59,186.0,-3.410000000000002,0.0,0.0
2,36,175.19,178.0,-2.8099999999999983,0.0,0.0
2,37,154.93,157.0,-2.0700000000000003,0.0,0.0
2,38,224.54,228.0,-3.459999999999995,0.0,0.0
2,39,199.23000000000002,203.0,-3.7699999999999942,0.0,0.0
2,40,116.98,118.0,-1.0200000000000007,0.0,0.0
2,41,150.61,153.0,-2.3900000000000006,0.0,0.0
2,42,118.8,120.0,-1.2000000000000006,0.0,0.0
2,43,181.88,184.0,-2.119999999999999,0.0,0.0
2,44,256.94,260.0,-3.0599999999999983,0.0,0.0
2,45,192.86,195.0,-2.1399999999999992,0.0,0.0
2,46,227.88,232.0,-4.119999999999994,0.0,0.0
2,47,224.94,228.0,-3.059999999999995,0.0,0.0
2,48,135.35,137.0,-1.6500000000000012,0.0,0.0
2,49,140.07,142.0,-1.9300000000000015,0.0,0.0
2,,192.56,195.0,-2.4400000000000004,0.0,0.0
2,,251.85,255.0,-3.149999999999993,0.0,0.0
2,,251.85,255.0,-3.149999999999993,0.0,0.0
2,,260.79,265.0,-4.20999999999999,0.0,0.0
2,,204.14000000000001,208.0,-3.8599999999999985,0.0,0.0
2,,146.47,148.0,-1.5300000000000011,0.0,0.0
2,,240.84,243.0,-2.159999999999999,0.0,0.0
2,,230.23,236.0,-5.769999999999998,0.0,0.0
