generation,specimen_id,total_fitness,distance,walk_straight,speed,joints_at_limits,alive_bonus,height_diff
0,0,52.76408156274258,-442.91880460823035,-0.18724358303077582,408.5377780351426,-19.099999999999998,161,-54.56764828113892
0,1,-581.3575712911256,-400.52990906452277,-0.3155476571953067,-247.72621824423783,-14.500000000000007,136,-54.28589632516965
0,2,123.29265218194386,-346.88632072047244,-0.051071539249353995,405.0771668196763,-20.799999999999994,141,-55.04712237801063
0,3,105.71029089967658,-342.28758203579963,-0.22171761729886755,354.90338166382116,-18.699999999999992,167,-54.98379111104611
0,4,54.49420568602165,-442.89576707297647,-0.4313039794270286,401.8585394122931,-20.30000000000001,171,-54.73726267386797
0,5,-627.0248826740263,-464.3030127261203,-0.14310866899571845,-248.06192132984614,-17.00000000000001,157,-54.516839949064156
0,6,10.408295519880603,-453.78671829528076,-28.521770476917364,359.7248734415421,-17.999999999999968,206,-55.00808914946341
0,7,-569.2890011465023,-374.2157914555316,-0.14423060464567114,-252.58987625040237,-14.100000000000009,126,-54.23910283592271
0,8,-551.121931646887,-346.9821237579034,-0.32130667733084795,-246.1563280531125,-23.199999999999985,120,-54.46217315854025
0,9,158.2830799146195,-272.310079360126,-0.02549001045102585,359.0057726602042,-19.699999999999996,146,-54.68712337500765
0,10,-718.3761977238214,-582.1302461166482,-0.12218922720408269,-246.61079811463733,-33.59999999999992,199,-54.91296426533186
0,11,-681.9587435486563,-524.6854527738293,-4.195326079910116,-250.2798061474278,-26.39999999999997,178,-54.398158547489196
0,12,-587.7543755208413,-423.3984473409711,-1.0940205629118458,-240.2922450858012,-11.499999999999993,143,-54.46966253115724
0,13,-685.1500888659411,-540.2043429461352,-0.21033834077645353,-251.62070770973557,-20.09999999999999,182,-55.01469986929388
0,14,70.7669436546276,-417.22659974127765,-0.06002161628775988,406.3577325661614,-15.600000000000012,152,-54.70416755396839
0,15,-52.62768748788683,-599.9935100873591,-0.08133713962552143,393.7307468514128,-16.599999999999987,225,-54.68358711231501
0,16,-567.219475575549,-372.0340217225127,-0.013983326895543451,-249.92147641295438,-17.900000000000013,127,-54.34999411318647
0,17,128.35066683938138,-317.42875622627355,-1.6880226259980096,360.4869512845759,-15.300000000000013,157,-54.71950559292296
0,18,160.43467209621969,-252.58857895507595,-0.5288146135594733,354.9059785612184,-23.49999999999998,137,-54.853912896363326
0,19,-612.2715178053293,-439.4331064888404,-0.771967823944088,-244.4300227718539,-23.699999999999964,151,-54.93642072069103
0,20,-599.6453371676106,-414.31301950787673,-0.4259585867466647,-251.2544032033125,-21.299999999999994,142,-54.35195586967474
0,21,-673.1891377398423,-520.5982530242219,-0.431178128267951,-250.4496411248094,-23.599999999999998,177,-55.11006546254309
0,22,-629.380613090995,-460.1919856657757,-0.05654721254086834,-254.74580604868297,-15.100000000000007,155,-54.28627416399546
0,23,-1375.5530598538267,-1489.3005847494128,-0.47155556567002505,-295.7172260665536,-73.9000000000004,501,-17.163693472189756
0,24,150.40481727337684,-287.30429242734346,-0.12795395900201534,376.3904941698254,-21.99999999999998,138,-54.55343051010312
0,25,55.56595784665071,-434.56694993793747,-1.0618946740850987,403.45333733132316,-20.099999999999998,163,-55.15853487264986
0,26,114.07112073676194,-361.50249098843676,-1.0911537313886734,404.49383659969834,-16.200000000000017,143,-54.629071143110956
0,27,74.59467132895023,-393.82406092301017,-0.12481801504490189,390.4945750968789,-42.799999999999976,176,-55.15102482987362
0,28,74.4967259076638,-408.4516157208818,-2.9948647144950615,406.62611132798554,-20.199999999999992,154,-54.48290498494486
0,29,99.35069237177933,-386.09076755270945,-0.9031126882807646,368.82641976253655,-12.8,185,-54.68184714976698
0,30,-632.9108698995066,-473.88450421191396,-0.13554942617218207,-248.93015496292443,-15.200000000000008,160,-54.76066129849594
0,31,132.8820288594604,-339.0650145894196,-0.9943500218403677,417.1871954682783,-15.800000000000011,126,-54.445801997557886
0,32,-612.3356341237835,-433.1988441123429,-0.062102516073662926,-248.77298627434013,-22.3,147,-55.0017012210269
0,33,145.86630274234096,-293.9738638987862,-0.022922597923594194,358.6401066797477,-19.299999999999986,155,-54.477017440696976
0,34,-607.5874173780869,-437.95124948551495,-0.058596924904519544,-246.627657984552,-17.700000000000006,149,-54.24991298311534
0,35,-554.3119461736935,-358.386733230233,-0.11749399433598105,-249.1238082854499,-14.200000000000006,122,-54.48391066367458
0,36,-586.8891403238458,-407.74543708906344,-0.4140986950685959,-249.8850970140338,-12.200000000000012,138,-54.64450752567997
0,37,-67.00854280153804,-571.2874680493967,-1.067471576394676,342.7851317400225,-21.699999999999985,239,-54.73873491576914
0,38,61.802409165760594,-434.66585116865014,-0.3742467106627331,391.4864423477339,-15.199999999999994,175,-54.44393530266041
0,39,-4.881245628572792,-527.0808928748208,-0.8408914969130195,381.1090181738323,-17.400000000000002,214,-54.66847943067116
0,40,-632.9762723519499,-468.3518538159228,-0.03615897005536516,-248.55692136530166,-20.599999999999998,159,-54.43133820067005
0,41,119.73104619527265,-327.18366599530134,-0.592620975102731,360.1957479714316,-22.19999999999998,164,-54.48841480575492
0,42,-10.521422758665999,-516.3100047424496,-0.021804767336410832,361.0108829558358,-21.899999999999988,221,-54.300496204715834
0,43,-606.4277087689514,-431.7376411456148,-0.14028919393789893,-249.7934989977325,-15.599999999999998,146,-55.156279431666256
0,44,-562.559109365046,-370.1558459517477,-0.5390437765717805,-242.56244943820596,-23.299999999999986,129,-55.00177019852066
0,45,63.37011306525108,-426.70419384929335,-0.12722812903121158,365.25717184267387,-16.60000000000002,196,-54.45563679909821
