generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-237.5952658643809,375.5,-130.41272943636218,-30.342536428279605,-452.3399999997391
0,1,-331.731904438974,150.0,-104.45602022107704,-15.135884218178377,-362.1399999997186
0,2,-268.6860612774859,172.5,-125.36732500781228,-16.418736269969337,-299.3999999997043
0,3,-8.116360549061127,195.0,-92.87667651637881,-17.619684033025052,-92.61999999965727
0,4,62.38615950362285,178.5,-92.39267595771665,-17.50116453902284,-6.219999999637662
0,5,-392.48476883233167,208.0,-100.56125738155163,-17.60351145030649,-482.32000000047356
0,6,-518.5920197101793,160.0,-90.45479117029666,-14.837228540115966,-573.2999999997667
0,7,-77.27928374206118,169.5,-50.417813908215685,-15.541469834168222,-180.81999999967726
0,8,19.82038629141949,177.5,-82.2350758287969,-15.344537880133815,-60.0999999996498
0,9,-19.65958164813472,173.5,-77.32473898814477,-19.234842660331754,-96.5999999996582
0,,-388.73454147286964,224.5,-83.07791944477968,-17.356622027609543,-512.8000000004804
0,,-256.4469366586714,167.0,-94.32694391376937,-17.03999274446725,-312.0800000004348
0,,-344.4996943469433,183.5,-80.83868029581225,-21.181014050670353,-425.9800000004607
0,,178.8176094038339,240.0,57.74155027496294,-19.3639408707426,-99.56000000038644
0,,-124.3729593535798,158.5,-86.3833807146335,-14.929578639268792,-181.5599999996775
1,5,-221.7911594149647,143.0,-71.30971065722134,-12.381448758043303,-281.09999999970006
1,6,-219.49682368721562,216.5,-112.63117265617754,-19.66565103060524,-303.70000000043285
1,7,-406.79173403521247,114.0,-74.87817330055462,-12.07356073419539,-433.84000000046245
1,8,129.73729855826912,249.5,-94.71676158276045,-20.565939858605642,-4.480000000364794
1,9,-78.5847655692711,166.0,80.84770425698704,-14.352469826551237,-311.0799999997069
1,,13.496340592982982,145.0,-82.55295054387221,-16.470708862773616,-32.480000000371184
1,,-150.0482952871127,125.5,-87.16550415885769,-13.222791127851451,-175.16000000040356
1,,-285.64252287734524,186.0,-159.44980357995024,-18.67271929769204,-293.519999999703
1,,-282.6946554665566,156.0,-70.73785853947857,-15.536796927361618,-352.4199999997164
1,,-395.91381568093345,166.5,-88.43039784510303,-17.243417836090348,-456.73999999974006
2,5,-120.3557724966382,145.0,-80.3201421603851,-16.495630335851015,-168.54000000040207
2,6,-86.07296045291021,152.5,-116.98091576513606,-16.692044687386513,-104.90000000038764
2,7,-121.03877937039172,253.5,14.663534819928934,-21.082314190600737,-368.11999999971994
2,8,-283.73289224644145,133.5,-135.33729422372932,-14.295598023015017,-267.5999999996971
2,9,-99.26980968940173,149.0,-63.71967112661812,-16.81013856238165,-167.74000000040195
2,5,-120.3557724966382,145.0,-80.3201421603851,-16.495630335851015,-168.54000000040207
2,6,-86.07296045291021,152.5,-116.98091576513606,-16.692044687386513,-104.90000000038764
2,7,-121.03877937039172,253.5,14.663534819928934,-21.082314190600737,-368.11999999971994
2,8,-283.73289224644145,133.5,-135.33729422372932,-14.295598023015017,-267.5999999996971
2,9,-99.26980968940173,149.0,-63.71967112661812,-16.81013856238165,-167.74000000040195
