generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-88.19035793220783,131.0,-98.92895106965749,-12.421406862161954,-107.84000000038839
0,1,-638.5684547534472,135.0,-115.38931500507404,-14.499139747863058,-643.6800000005101
0,2,-213.32244867786338,149.0,-96.07995142114181,-14.102497257027995,-252.13999999969357
0,3,-245.93721959363347,262.5,-61.35689658152555,-26.020323011648394,-421.0600000004595
0,4,-48.89925972614273,128.0,-117.4526601247273,-12.466599601040944,-46.98000000037448
0,5,-443.5354905091024,160.0,-74.69439811317558,-15.001092395446085,-513.8400000004807
0,6,37.62877475331325,166.5,-59.85247573413812,-15.418749512172607,-53.60000000037601
0,7,16.93564465448175,185.0,-101.6773504441079,-16.887004901762822,-49.49999999964753
0,8,-214.65916970985487,170.5,-108.5290264063648,-16.910143303794772,-259.7199999996953
0,9,-388.0387870783859,152.0,-79.77770879312027,-14.061078285527945,-446.19999999973766
0,,55.212928380880214,215.5,104.96004729252942,-24.567118911230768,-240.6800000004185
0,,-135.72356769897763,203.5,-113.84718761694008,-20.95638008235489,-204.41999999968266
0,,-787.9870304738458,140.0,-115.86415230099648,-12.52287817303123,-799.5999999998181
0,,16.93564465448175,185.0,-101.6773504441079,-16.887004901762822,-49.49999999964753
0,,-294.3482211921834,193.0,-47.146105138107586,-21.64211605434441,-418.5599999997314
1,5,-447.58300387561525,200.0,-92.04517974393116,-17.817824131925754,-537.7199999997583
1,6,-216.65581224205135,192.0,-85.52294676643642,-20.112865475909803,-303.01999999970513
1,7,-540.3012006440406,127.0,-99.0721976166351,-12.049003026915365,-556.1800000004902
1,8,20.3418522280597,147.0,-100.4480673369968,-13.970080435304542,-12.239999999638963
1,9,-98.48983559000804,167.5,-74.39633240512815,-18.21350318447665,-173.38000000040324
1,,46.34086250418671,188.5,-84.28137207349172,-19.037765421948933,-38.84000000037263
1,,37.62877475331325,166.5,-59.85247573413812,-15.418749512172607,-53.60000000037601
1,,36.90219771084725,183.0,-69.44707316228329,-16.030729127219473,-60.61999999964999
1,,-317.79395209220314,137.0,-98.40751453052297,-13.326437561238345,-343.06000000044185
1,,147.87146372201246,175.5,111.63292784108617,-14.881464118681528,-124.38000000039213
2,5,-333.37749097640346,172.5,-120.23269680539717,-17.624794171286357,-368.0199999997199
2,6,-32.35713330843669,243.0,143.74361701631946,-24.260750325030223,-394.83999999972593
2,7,61.03981796054614,169.5,-79.05810390111354,-16.60207813797363,-12.800000000366687
2,8,-214.5464219814316,128.5,-87.28922719311754,-13.717194788622747,-242.0399999996913
2,9,-438.3479309372636,208.5,-70.63783658390774,-20.650094353593268,-555.5599999997626
2,,-101.22635196186454,149.0,-77.81878437288168,-14.407567589310721,-157.99999999967213
2,,-147.18411592652984,278.5,13.743866465327093,-21.7479823921257,-417.6799999997312
2,,16.93564465448175,185.0,-101.6773504441079,-16.887004901762822,-49.49999999964753
2,,-248.41296687884605,158.0,-109.99116574223483,-16.481801136911358,-279.93999999969986
2,,-153.06794136590906,180.0,-71.29004042092485,-15.297900944564333,-246.48000000041986
3,5,-69.9354282935563,145.5,-76.1538892683066,-15.02153902485765,-124.26000000039204
3,6,-89.86365914821681,194.5,-101.12984496426708,-18.493814183548437,-164.7400000004013
3,7,-347.32141792282687,175.0,-103.31468613695579,-16.486731785415596,-402.52000000045547
3,8,-12.710125615108005,150.0,-86.11830382302203,-15.711821792435929,-60.879999999650046
3,9,-195.8391386222387,138.0,-49.495204611179204,-12.22393401136138,-272.1199999996981
3,,-130.57221091982262,186.5,-73.85327007400545,-17.758940846129665,-225.4599999996875
3,,-378.9334344120558,169.0,-95.23809611715117,-15.835338295169079,-436.8599999997356
3,,-630.5531245704537,113.5,-78.66976367854839,-11.363360892120468,-654.0199999997849
3,,-80.88495310824447,157.5,-93.63724297071708,-14.627710137861541,-130.11999999966585
3,,-626.3511646348542,144.5,-93.67022350030483,-14.5409411340347,-662.6400000005146
4,5,-312.89948151726867,195.0,-72.78042909565245,-19.859052421158065,-415.26000000045815
4,6,-155.10666822818084,156.5,-95.05433477849843,-15.492333449272904,-201.0600000004095
4,7,-499.51968850415574,129.5,-121.00856249415305,-13.631126009526483,-494.3800000004762
4,8,-200.97432342553472,158.5,-103.51740521605892,-15.856918209785016,-240.0999999996908
4,9,74.76338062905108,361.5,-91.8120296254651,-40.104589745812405,-154.81999999967138
4,5,-312.89948151726867,195.0,-72.78042909565245,-19.859052421158065,-415.26000000045815
4,6,-155.10666822818084,156.5,-95.05433477849843,-15.492333449272904,-201.0600000004095
4,7,-499.51968850415574,129.5,-121.00856249415305,-13.631126009526483,-494.3800000004762
4,8,-200.97432342553472,158.5,-103.51740521605892,-15.856918209785016,-240.0999999996908
4,9,74.76338062905108,361.5,-91.8120296254651,-40.104589745812405,-154.81999999967138
