generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-67.39051465774696,73.5,-63.10829039614748,-8.13370314219034,-69.64852111940914
0,1,-357.9639733090577,151.0,-1.1720955195400484,-14.791547998634705,-493.0003297908829
0,2,-159.95385776274404,91.5,33.47060043451654,-10.305468913930916,-274.61898928332965
0,3,1.5620374764987943,113.5,-51.51692071858156,-11.554382533594358,-48.86665927132529
0,4,102.52548706279238,121.5,26.20384401783875,-12.334494201618792,-32.84386275342759
0,5,-514.5586608054269,77.0,-53.604291061840186,-8.113648959553409,-529.8407207840334
0,6,-625.2975584529913,67.0,-47.09645522750719,-7.218826284887405,-637.9822769405968
0,7,-165.8319916437484,97.0,16.095991469561017,-9.687181627058274,-269.24080148625114
0,8,-522.224029553165,61.5,-22.96091714237175,-5.413668422508892,-555.3494439882844
0,9,-799.5204551710797,67.5,13.76261931640877,-6.48090611806563,-874.3021683694228
0,10,92.26405021102427,63.0,39.33886943145412,-6.683083622513871,-3.391735597915977
0,11,-397.4651833612068,78.0,-73.13564100045967,-8.953548439263617,-393.37599392148354
0,12,-605.4794088951948,116.5,-49.853423188827215,-12.526390626288714,-659.5995950800789
0,13,-87.04519115198505,99.0,-14.069391433360025,-10.135586913439631,-161.8402128051854
0,14,-825.4850959267307,53.5,-29.867534713781126,-5.41509060034751,-843.702470612602
0,15,-311.5994268433463,90.0,75.99364165884427,-10.810128134550192,-466.7829403676404
0,16,-16.730772443252036,83.0,-22.03553962112895,-10.683482087033552,-67.01175073508954
0,17,-697.3367427100529,84.5,-55.91398341110602,-8.65590383850906,-717.2668554604379
0,18,-13.473799850974672,102.0,-51.97349276845335,-11.626376833681366,-51.873930248839955
0,19,-600.5317054601832,62.0,-56.50915082559757,-6.4575985942584735,-599.5649560403272
0,20,-55.23245282790464,123.0,20.195363901403045,-12.42495056613066,-186.00286616317703
0,21,-229.59715974167707,70.0,47.472769155987045,-7.48654999695987,-339.58337890070425
0,22,-239.73232715544668,101.5,-57.629826438077885,-11.602663278478175,-271.9998374388906
0,23,5.470046637639626,250.5,17.444275512933906,-29.397262604388825,-233.07696627090547
0,24,-1095.5632865602397,72.0,-47.28946220301066,-6.588949163343105,-1113.684875193886
0,25,-857.1847696274211,52.5,-44.72057196123361,-5.774497785176616,-859.1896998810109
0,26,-66.1731543749255,86.0,27.256296625400683,-7.300712690693318,-172.12873830963287
0,27,-300.70072409492525,92.0,-50.89458423027894,-9.820687662707359,-331.985452201939
0,28,-210.96279981925795,88.5,34.81866271051259,-8.821810297114132,-325.4596522326564
0,29,-64.50814067805993,64.0,-37.30996753645517,-6.24100164591848,-84.95717149568628
0,30,-1008.2192136105125,65.0,-57.6654824280394,-7.382706821079865,-1008.1710243613933
0,31,-347.6884073170717,65.5,-14.181204476186839,-6.031619051461088,-392.9755837894238
0,32,-862.2050836727394,156.0,0.15362866431899685,-16.53876252604015,-1001.8199498110182
0,33,-498.34850356028073,70.0,-37.996207110524686,-7.4666647368252095,-522.8856317129308
0,34,-493.35901140563936,65.5,-57.312792128182075,-7.05233894800566,-494.49388032945166
0,35,13.063684678912438,94.5,35.968557204275996,-10.203161803258277,-107.20171072210529
0,36,-193.95448172210195,51.5,-35.759073374550745,-5.7917055089929494,-203.90370283855825
0,37,-558.7240564861378,250.5,-128.8041339429841,-32.64279866145462,-647.777123881699
0,38,-306.2530713659466,143.5,18.719774517646762,-16.27832062991833,-452.194525253675
0,39,-826.0869408967269,75.5,-76.3150263684029,-8.428273990237992,-816.843640538086
