generation,specimen_id,total_fitness,distance,walk_straight,speed,joints_at_limits,alive_bonus,height_diff
0,0,-668.7776994385606,-523.2506670375071,-0.02642564314920503,-250.865972491644,-16.00000000000001,176,-54.63463426626026
0,1,-643.0834114923825,-483.46146140632794,-0.20450005501685964,-250.8713338113643,-16.70000000000001,163,-54.84611621967338
0,2,-679.0848804498559,-532.6936209694401,-0.07089415039926066,-251.86616671536635,-18.40000000000001,179,-55.05419861465024
0,3,51.76927670542307,-430.41730161343634,-0.08572347655257222,357.9208606767988,-18.500000000000007,198,-55.148558881386805
0,4,-708.9604087112397,-580.4200080399361,-0.0182135612794152,-251.6721522794213,-17.10000000000001,195,-54.750034830602914
0,5,-639.9945280391038,-475.66888808535765,-0.3362069635453305,-253.2619927219431,-15.900000000000007,160,-54.82744026825776
0,6,-603.5714919847454,-424.6485018662149,-0.03729441223557563,-249.6102673409798,-18.5,144,-54.77542836531514
0,7,43.42329222183514,-458.42928703590917,-0.07733099990558927,399.42781536980056,-16.900000000000006,174,-54.59790511215064
0,8,-249.87446151546914,-911.9184255785295,-0.0404020386501024,370.01153132822117,-19.69999999999998,366,-54.227165226510756
0,9,-695.0444671380488,-565.3198024314004,-0.05426472672317728,-251.1328028218434,-14.000000000000009,190,-54.53759715808194
0,,-654.4196772989249,-496.49642918470704,-0.4154057336453564,-253.37728425010002,-16.599999999999998,167,-54.530558130472436
0,,-647.2542848492733,-481.6419685847901,-0.08301804089811986,-254.07020023014542,-18.700000000000014,162,-54.759097993439525
0,,-659.6246519277323,-501.9018686879451,-0.12850391348970727,-252.55283418644638,-18.900000000000013,169,-55.14144513985115
0,,-630.909250621032,-471.2967699983766,-0.3508362268399651,-250.34795784737537,-13.400000000000006,159,-54.51368654844014
0,,64.15938652348582,-406.5410707415675,-0.047096861605964706,354.5635612849767,-17.400000000000013,188,-54.416007158317385
0,,-621.3101149972696,-448.5241607415858,-0.08805812231443547,-251.67084825597158,-16.800000000000008,151,-55.227047877397936
1,4,-716.7152902084475,-586.5846899584863,-0.18080581394040413,-252.79000280124777,-19.8,197,-54.35979163477313
1,5,-634.4228164152918,-464.0501672113212,-0.146249394456043,-254.47099929390194,-17.300000000000015,156,-54.45540051561252
1,6,-660.9601146448797,-511.08853090762443,-0.1611098067310076,-251.635601560483,-15.30000000000001,172,-54.77487237004128
1,7,-685.2911149655365,-542.1371070108477,-0.4139405137483168,-251.31383491818926,-19.3,183,-55.12623252275129
1,8,69.59065246102074,-400.111222928012,-0.040049833247261815,355.543566356448,-16.700000000000006,186,-55.10164113416799
1,9,-615.6438820859619,-448.53845044451805,-0.015326093367211626,-251.18885060143992,-12.500000000000007,151,-54.401254946636705
1,,20.217115518786734,-472.63334890126174,-0.015473894411860152,356.18777150454775,-19.000000000000004,210,-54.321833190087425
1,,-631.728274388187,-471.4995148520436,-0.06950823915103008,-249.7454083477318,-14.600000000000005,159,-54.813842949260476
1,,-653.0109274588905,-493.7670997652521,-0.45120289979102257,-253.57210221426942,-16.400000000000006,166,-54.820522579577954
1,,45.29048153113171,-451.8494593437235,-0.17520104330029243,395.87441398468104,-18.100000000000005,174,-54.45927206652552
1,,-636.0237839594965,-472.1388205236838,-0.3835461375916669,-250.8620876313517,-16.60000000000001,159,-55.039329666869314
1,,-669.1727222960594,-526.9050427904396,-0.053447625040314646,-251.36647817942912,-13.600000000000009,177,-54.247753701150366
2,4,26.864047733724625,-468.52901335186107,-0.022466761554876945,358.2109724684292,-17.0,209,-54.79544462128862
2,5,-638.8558359674277,-480.2381420942348,-0.04708461576198651,-249.8154474007991,-15.900000000000007,162,-54.855161856631845
2,6,-661.2967904610273,-502.5855137641559,-0.25342120811852875,-253.67239011829514,-18.60000000000001,169,-55.185465370457706
2,7,45.787792967066146,-454.96625854179507,-0.09819785850908068,397.1523715716657,-16.100000000000005,175,-55.20012220429539
2,8,-667.4561802598281,-519.0968724029591,-0.42573634112556175,-250.92579094315113,-17.00000000000001,175,-55.00778057259233
2,9,73.90966581589537,-402.9863146687365,-0.031580020708108704,378.80589095078574,-19.70000000000001,173,-55.178330445445724
2,,70.33090840450001,-407.52247177392786,-0.047298143308312585,373.36141835795894,-17.20000000000001,176,-54.260740036222764
2,,-673.5633278348556,-526.4253234292628,-0.05965147683761968,-252.04729133808596,-17.000000000000007,177,-55.031061590669225
2,,42.50054924645972,-442.64270604434404,-0.08684360648597268,370.816924573084,-20.900000000000002,190,-54.68682567579429
2,,50.675605455222666,-430.7902078876526,-0.011114489988829315,356.92375164760136,-18.30000000000001,198,-55.146823814737246
2,,69.7942977833668,-394.33022971489765,-0.031156054841644725,355.1828947672364,-20.20000000000001,184,-54.8272112141303
2,,-632.8088884530954,-473.69431350859105,-0.11464905318852416,-248.02514196637918,-16.000000000000014,160,-54.97478392493659
3,4,-653.6454277145831,-499.01198778141264,-0.047082925376792505,-251.37120674438,-16.100000000000005,168,-55.11515026341357
3,5,-605.277624193949,-429.6511527507674,-0.014108901261325708,-249.49542477285624,-16.20000000000001,145,-54.91693776906406
3,6,47.18703038583816,-436.4298741045846,-0.1318301041639133,370.9038754610127,-20.400000000000006,188,-54.75514086642605
3,7,113.8491792102434,-332.71097240806546,-0.02006924718221275,356.52543389247234,-18.80000000000001,164,-55.14521302698124
3,8,67.6706410788961,-397.309812497338,-0.04260831252832747,355.0123183898326,-20.300000000000004,185,-54.68925650107019
3,9,-695.8429465366278,-561.7722107386822,-0.15797355832857768,-249.4121623211646,-18.400000000000002,189,-55.1005999184524
3,,55.60150195918877,-418.71084829425786,-0.05038433912039785,354.6500645898817,-17.90000000000001,192,-54.38732999731468
3,,69.30700060124565,-400.3647095061192,-0.05395526150926765,354.83993321061223,-14.200000000000003,184,-54.914267841738116
3,,76.59188219639742,-401.2794022890277,-0.10077960434814974,378.3432230553025,-17.20000000000001,172,-55.17115896552921
3,,102.97887194607316,-344.6981089974513,-0.023425561236719558,354.4497491405111,-17.80000000000001,166,-54.9493426357499
3,,43.0930337693931,-437.44546706181904,-0.017774616484171054,354.85306784896153,-17.400000000000006,198,-54.89679240126519
3,,84.24622620352184,-376.1920508644621,-0.021878269636247106,355.47381418587787,-18.00000000000001,178,-55.01365884825768
4,4,-22.636417930308113,-548.1899704201495,-0.04938943906152273,358.8578182971189,-19.800000000000008,241,-54.45487636821596
4,5,74.758944907121,-391.2222466861227,-0.041429513534532475,354.8293815848882,-14.700000000000001,181,-55.10676047811002
4,6,66.57479328249035,-424.7726224965089,-0.04676812144859405,399.61504132620985,-16.40000000000001,163,-54.82085742576196
4,7,104.47587230808867,-342.23268112151754,-0.014771292738897556,353.616664817945,-17.50000000000001,165,-54.393340095599875
4,8,49.19714418056178,-436.62924302581524,-0.03176249501564094,355.5763237458089,-12.899999999999999,198,-54.81817404441624
4,9,75.17623419222392,-397.85605081883426,-0.021042690792476754,356.8244686720208,-16.300000000000008,187,-54.471140970170175
4,,62.31209315963909,-403.1221910884961,-0.033378059476634504,354.33418362367775,-19.100000000000012,185,-54.76652131606589
