generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,-270.2764381047501,68.0,-34.40102242605757,-6.875415678692789,-159.9999999999998,-137.0
0,1,-216.99357301343102,79.0,-52.85775326654783,-7.1358197468833575,-99.99999999999983,-136.0
0,2,-249.96894006661023,50.0,-34.06046745866394,-4.908472607946431,-159.99999999999986,-101.0
0,3,-389.42032543937034,66.0,-21.09173790077684,-7.328587538593789,-319.9999999999997,-107.0
0,4,-472.02758366503224,69.0,-34.22311741486981,-6.80446625016234,-360.0000000000001,-140.0
0,5,-347.67120645562284,90.5,-19.462529463660317,-7.708676991962404,-260.0000000000001,-151.0
0,6,-264.25732225618856,102.0,-34.768931903822555,-9.48839035236622,-119.99999999999977,-202.0
0,7,-223.53739328598635,62.0,-34.399909507477595,-7.137483778509038,-119.99999999999973,-124.0
0,8,-232.24239601629998,48.5,-35.98545578680083,-5.756940229499016,-140.00000000000014,-99.0
0,9,-292.3982939059936,101.5,-43.58812326452929,-7.310170641464122,-140.0000000000002,-203.0
0,10,-558.7618890245394,78.5,-51.05462549904831,-8.207263525490985,-420.0000000000001,-158.0
0,11,-105.9256580118885,56.0,-42.71793286305621,-5.207725148832136,-1.4779288903810084e-13,-114.0
0,12,-162.14825785190735,74.0,-36.82874262937857,-7.319515222528985,-59.99999999999979,-132.0
0,13,-346.1945322158019,69.5,-27.731778909250014,-6.962753306552185,-239.99999999999974,-141.0
0,14,-338.04993200743434,52.0,-38.39578230878015,-5.6541496986540976,-240.0000000000001,-106.0
0,15,-266.2686669661248,154.0,12.038709888610413,-17.307376854735416,-219.99999999999974,-195.0
0,16,-297.3187058650343,57.0,-51.61441435253624,-6.704291512497963,-180.00000000000014,-116.0
0,17,-159.8048434520719,69.5,-23.86105056584664,-6.443792886225146,-100.00000000000013,-99.0
0,18,-280.97807584559246,61.0,-53.493527746915696,-5.484548098676968,-159.99999999999977,-123.0
0,19,-410.1829228467592,102.0,-42.56932525080889,-9.613597595950504,-259.9999999999998,-200.0
