generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-46.81226492946894,267.5,47.90231082295636,-18.57457575271085,-343.6399999997144
0,1,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
0,2,-226.3841983549539,367.0,-120.51410500686288,-37.77009334762823,-435.1000000004628
0,3,-76.79424893091817,500.5,-150.72833808242476,-42.50591084876992,-384.05999999972346
0,4,-138.58006964660854,500.5,48.24994916229751,-53.25001880839806,-634.080000000508
0,5,184.4016047306489,487.5,-140.35582534513176,-57.16256992383157,-105.58000000038778
0,6,-86.2863996895905,500.5,48.10096500309196,-48.20736469218519,-586.6800000004972
0,7,187.2792918399578,429.0,-130.61335811296135,-45.32735004670216,-65.78000000037869
0,8,145.6021935494946,320.0,-66.81214192657737,-31.305664523546895,-76.28000000038115
0,9,-452.5348121217933,287.0,-64.3572077550434,-26.477604366238495,-648.7000000005114
0,,112.19986804204018,340.0,-114.9216638569744,-33.23846810133112,-79.63999999965426
0,,97.21570361369982,500.5,-39.799374217229406,-29.764922169358773,-333.719999999712
0,,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
0,,-79.02644610321613,392.0,-65.47629749580736,-33.39014860696035,-372.16000000044846
0,,-639.9789975608963,291.0,-105.936352764637,-28.442644795714454,-796.6000000005449
1,5,308.54557889573755,427.0,-50.82580316571281,-41.06861793817972,-26.560000000369882
1,6,108.81437171700941,500.5,-17.962367818023402,-40.00326046525519,-333.719999999712
1,7,346.8947345179578,500.5,-44.210415273380534,-31.51485020900786,-77.87999999965385
1,8,-313.4533554678728,361.5,-70.10875705603773,-35.74459841206946,-569.0999999997656
1,9,-1.6680815734080738,229.0,-69.36119519228711,-21.946886380725502,-139.36000000039547
1,,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
1,,389.97333139672793,459.5,-6.7956243640001075,-38.4710442396303,-24.259999999641675
1,,64.77170873547908,401.0,-94.73482964356354,-42.03346162127578,-199.4599999996816
1,,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
1,,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
2,5,372.7965278419923,500.5,-15.182097989403575,-34.641374168950286,-77.87999999965385
2,6,-347.22875409543207,474.5,-102.69122947465829,-50.737524620985525,-668.2999999997883
2,7,337.4279701521991,500.5,-34.26726070481266,-44.20476914333286,-84.5999999996554
2,8,-174.31640360853692,291.0,-61.73784803168607,-25.53855557640096,-378.0400000004499
2,9,180.0516584680677,476.5,-71.38576655106282,-45.74257498046482,-179.32000000040463
2,,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
2,,232.15327691114456,382.5,-70.6113688625026,-35.815354225979036,-43.92000000037379
2,,446.7550977453151,500.5,59.26498123862243,-35.129883493653566,-77.87999999965385
2,,357.4599338593331,500.5,-32.60953777687452,-32.5505283641386,-77.87999999965385
2,,375.11994797119803,500.5,-9.279960270496588,-38.22009175865157,-77.87999999965385
3,5,343.8648613992698,500.5,-46.26205407086534,-32.49308453021104,-77.87999999965385
3,6,38.92430195572595,316.5,-69.06994846681562,-28.305749577781267,-180.19999999967717
3,7,98.02217598801113,441.0,-94.16089117156169,-44.87693284001704,-203.94000000041015
3,8,65.2284641195725,472.5,-100.17006595559229,-45.96146992513963,-261.1399999996956
3,9,-81.50050295764726,421.0,-116.23793083995089,-43.42257211798217,-342.8399999997142
3,,139.36433897124274,469.5,-54.28180382105645,-42.3138572080115,-233.53999999968934
3,,225.24845225593288,500.5,-83.68102587768833,-46.850521865981996,-144.7200000003968
3,,141.30009269417417,419.5,-108.42413907945279,-37.59576822670675,-132.17999999966628
3,,-237.92866500216869,334.0,-55.03591040092023,-33.23275460150236,-483.6599999997461
3,,443.3967123591731,500.5,-3.19988104939465,-36.543406591792156,-17.35999999964008
4,5,-330.72226452977543,370.5,-114.18179998948557,-35.7604645405283,-551.2799999997616
4,6,210.98163932011647,382.0,-56.56738941224554,-37.71097126798432,-76.73999999965365
4,7,-14.518738387830041,303.5,-107.60409688617547,-28.694641501249443,-181.72000000040515
4,8,-421.61231679251546,350.0,-81.06592586138449,-34.90639093134562,-655.6399999997853
4,9,80.6476454157397,316.0,-71.29399479441255,-31.938359789453866,-132.12000000039387
4,,372.7965278419923,500.5,-15.182097989403575,-34.641374168950286,-77.87999999965385
4,,329.9780826582154,500.5,-55.5806616244146,-37.061255717716165,-77.87999999965385
4,,119.1058831073006,454.5,64.00399703342204,-33.79811392640208,-365.59999999971933
4,,270.2624822981395,500.5,-105.50880630650595,-46.848711395700704,-77.87999999965385
