generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-344.5068843011744,68.5,-56.5396570691072,-7.316211851100883,-349.1510153809663
0,1,-661.8688289243033,87.5,-46.0350479079945,-10.062094642880979,-693.2716863734279
0,2,-154.8211962984349,137.0,-57.74656769644019,-14.081689218629458,-219.99293938336524
0,3,41.107332912553574,111.5,46.23666014305974,-10.363979086896942,-106.26534814360923
0,4,-335.48018277409864,98.0,60.947015503267124,-10.0588967998847,-484.36830147748105
0,5,-269.7947365870021,83.5,-58.63445028895238,-8.307596958937781,-286.3526893391119
0,6,-307.18981337735414,80.5,-66.36964837262042,-9.045553011356677,-312.27461199337705
0,7,-561.7022150295925,62.5,-22.637252407179844,-5.53538376971705,-596.0295788526956
0,8,-865.0442913794177,95.0,14.568332471390848,-9.328947156390397,-965.2836766944182
0,9,-281.3279241398094,58.5,-19.174825980148817,-5.467117550699082,-315.1859806089615
0,,-426.17335642372757,89.5,-63.04632384594316,-9.081275458093733,-443.5457571196907
0,,-89.34810036542059,127.0,-41.89990294702863,-11.442907967032323,-163.00528945135963
0,,-510.87976683891753,107.5,-41.666014621345106,-10.959957952595616,-565.7537942649768
0,,-602.7184785854672,73.0,-45.29599318026997,-7.242363547876729,-623.1801218573205
0,,115.59826974257135,99.5,49.77824285950253,-8.792486642706036,-24.88748647422517
1,5,-230.49759675442766,98.0,-45.575508921695395,-9.932412574552993,-272.98967525817926
1,6,-309.195326797125,135.5,30.73870258689993,-12.511331425397595,-462.92269795862734
1,7,-435.912605441768,64.0,-32.017019676654186,-7.028709163203548,-460.86687660191023
1,8,12.288981098566396,98.5,-42.30925052966654,-10.767347372701503,-33.13442099906556
1,9,-247.26881488192166,81.5,-26.88249375749345,-7.9858802443451475,-293.90044088008307
1,5,-230.49759675442766,98.0,-45.575508921695395,-9.932412574552993,-272.98967525817926
1,6,-309.195326797125,135.5,30.73870258689993,-12.511331425397595,-462.92269795862734
1,7,-435.912605441768,64.0,-32.017019676654186,-7.028709163203548,-460.86687660191023
1,8,12.288981098566396,98.5,-42.30925052966654,-10.767347372701503,-33.13442099906556
1,9,-247.26881488192166,81.5,-26.88249375749345,-7.9858802443451475,-293.90044088008307
