generation,specimen_id,total_fitness,alive_bonus,speed,forces
0,0,-1076321.985257741,292.0,-19.816267043470692,-1076594.1689906975
0,1,-243580.74862713015,126.0,-40.62362580570227,-243666.12500132446
0,2,-214389.5932589826,185.0,-46.76768735640538,-214527.8255716262
0,3,-2404708.478742142,135.0,-44.25912642207755,-2404799.21961572
0,4,-502685.32169756154,183.0,34.93264190248668,-502903.254339464
0,5,-1705379.2743072822,249.0,16.22956566244768,-1705644.5038729445
0,6,-352154.6403655237,155.0,-42.74620409162336,-352266.89416143205
0,7,-233328.3892875326,141.0,-72.78064222988858,-233396.6086453027
0,8,-843580.605351865,165.0,-45.165424888573156,-843700.4399269763
0,9,-1729887.9806234033,194.0,-54.796596861649945,-1730027.1840265417
0,10,-101015.33289811893,157.0,28.129079259820045,-101200.46197737874
0,11,-209498.56448510182,146.0,-41.20510655674663,-209603.35937854508
0,12,-1406.961158191562,148.0,-23.490651642979014,-1531.470506548583
0,13,-4696.612346107236,198.0,-35.93114959108061,-4858.681196516155
0,14,-1623738.022305006,178.0,-25.72679446325217,-1623890.2955105426
0,15,-1503256.1732431368,133.0,-43.26204554349099,-1503345.9111975934
0,16,-1926890.7468309843,166.0,-46.26715283285274,-1927010.4796781514
0,17,-636085.1807558913,177.0,-61.05801168620089,-636201.1227442051
0,18,-27671.331198529308,242.0,-37.09145281229341,-27876.239745717015
0,19,-2342371.4658966097,349.0,-73.07628113995051,-2342647.3896154696
0,20,-253016.03242131727,148.0,-38.03803659017099,-253125.9943847271
0,21,-1056693.050405885,161.0,-58.182021855732344,-1056795.8683840293
0,22,-278805.7443752885,172.0,2.7163355789971675,-278980.4607108675
0,23,-1355878.590194575,142.0,-63.89916682332466,-1355956.6910277517
0,24,-687064.9037775446,143.0,-61.79366073715041,-687146.1101168075
0,25,-107042.32696330936,150.0,37.90997437347139,-107230.23693768283
0,26,-235548.9234050994,245.0,-69.9941084208965,-235723.9292966785
0,27,-72400.46370379116,262.0,-54.90161733626408,-72607.5620864549
0,28,-195772.19977604685,139.0,-49.975571179245506,-195861.2242048676
0,29,-1201822.4689469812,189.0,-20.165756634279393,-1201991.303190347
0,30,-17422.50754250677,186.0,40.48214998182059,-17648.98969248859
0,31,-834876.4479429473,137.0,-68.04917646969398,-834945.3987664776
0,32,-595159.4254170208,122.0,-31.207743893669438,-595250.2176731271
0,33,-974835.6792322814,222.0,-55.309347745444,-975002.3698845359
0,34,-52251.87170016056,116.0,-38.01468056693803,-52329.857019593626
0,35,66.22918017148297,105.0,-22.24904499707036,-16.521774831446674
0,36,-81061.82633446026,154.0,-33.191081310535495,-81182.63525314973
0,37,-1140226.2810656824,132.0,-50.25136101020558,-1140308.0297046723
0,38,-181400.67991183477,186.0,38.481636013913125,-181625.1615478487
0,39,-526163.496007262,132.0,-36.64730123747292,-526258.8487060246
0,40,-964861.0484976819,159.0,-39.30785363091463,-964980.740644051
0,41,-54799.14780691995,191.0,31.432883237418523,-55021.58069015737
0,42,-324802.2276022953,159.0,-63.42969870358681,-324897.7979035917
0,43,-127895.15490537255,152.0,-36.78567034046835,-128010.36923503208
0,44,-94533.73892743292,170.0,27.086289085973313,-94730.82521651889
0,45,-95361.09727257071,206.0,-46.256366867891145,-95520.84090570282
0,46,-97267.74218091813,253.0,41.9643673054081,-97562.70654822353
0,47,-444273.63224009995,176.0,-51.26887019013635,-444398.3633699098
0,48,-496982.4720424698,157.0,-40.87033398735969,-497098.6017084824
0,49,-32374.571576625607,157.0,-70.04666337857137,-32461.524913247034
0,,-656461.1908467502,196.0,37.24739509553408,-656694.4382418457
0,,-246124.434495461,187.0,-38.629752751591354,-246272.8047427094
0,,-16847.089716392555,128.0,-47.06802892928274,-16928.02168746327
0,,-20002.745710520383,163.0,-37.98311302037524,-20127.76259750001
0,,-2870042.4014382306,140.0,-41.81719189477418,-2870140.584246336
0,,-74147.198510342,118.0,-26.388674722744895,-74238.80983561925
0,,-630979.554402137,227.0,59.63587363664445,-631266.1902757736
0,,-14549.251957233653,129.0,-60.852043483522394,-14617.39991375013
0,,-47502.95197063623,145.0,22.83228672917499,-47670.784257365405
0,,-1876.5349667809683,198.0,37.10753030363315,-2111.6424970846015
0,,-466357.9386755723,202.0,-49.42902390158945,-466510.5096516707
0,,-10242.143060385592,328.0,-32.249481558984435,-10537.893578826606
0,,-9705.655697502456,168.0,-37.75053803907671,-9835.905159463378
0,,-787404.4204418637,131.0,-37.37358064400859,-787498.0468612197
0,,-695508.147417976,165.0,19.13739414511915,-695692.2848121212
0,,-103548.18244062363,144.0,-40.86974236282399,-103651.31269826081
0,,-1760005.6424349668,104.0,-34.485591006057646,-1760075.1568439608
0,,-49774.067017483954,117.0,-34.749126852636415,-49856.31789063132
0,,-18131.98583623353,142.0,-44.28867277362442,-18229.697163459903
0,,-1861830.3394942218,359.0,24.685008602994685,-1862214.0245028248
0,,-1391988.2689160528,181.0,-55.529326836845776,-1392113.739589216
0,,-541893.4289902827,178.0,37.5235331294687,-542108.9525234122
0,,-96495.53461873246,169.0,-50.8329855744538,-96613.70163315801
0,,-919216.3059990848,149.0,-33.158628985209646,-919332.1473700997
0,,-206042.38476034,133.0,-44.767610149882344,-206130.6171501901
1,25,-239168.59431019335,253.0,24.64243985733706,-239446.23675005068
1,26,-568718.242752635,192.0,-37.67845704778057,-568872.5642955872
1,27,-18005.493167075503,143.0,-44.21093439220003,-18104.282232683305
1,28,-179076.75374329984,182.0,37.15312917371059,-179295.90687247354
1,29,-1157751.0736118266,224.0,-56.26135388504324,-1157918.8122579416
1,30,-82627.82702341683,126.0,-29.146415099796744,-82724.68060831704
1,31,-20161.601419664483,108.0,-27.916959718383815,-20241.6844599461
1,32,-192584.57947031406,136.0,-59.04358037926475,-192661.53588993478
1,33,-584891.9301646525,186.0,-46.762870462683686,-585031.1672941898
1,34,-1283026.171737516,145.0,-41.76802497673599,-1283129.4037125392
1,35,-122443.75855365802,211.0,-32.57100000929501,-122622.18755364872
1,36,-304849.8417578277,157.0,-29.113647968076382,-304977.72810985957
1,37,-28619.65808765024,135.0,-38.2512859711707,-28716.40680167907
1,38,-28065.79500282939,118.0,-24.24004094777123,-28159.55496188162
1,39,-241767.64616219097,198.0,-50.83810617506821,-241914.8080560159
1,40,-162483.88198116585,126.0,-37.34439723066086,-162572.5375839352
1,41,-206339.96016960073,106.0,-31.05196215194055,-206414.90820744878
1,42,-815545.9566887256,141.0,-40.77789646457972,-815646.178792261
1,43,-59414.22447333205,160.0,-55.947283588898074,-59518.27718974315
1,44,-19293.977234838367,501.0,-47.995801489769484,-19746.981433348596
1,45,-1247565.2940626175,181.0,-53.11180794481436,-1247693.1822546727
1,46,-670014.8802622837,141.0,-27.07913521921716,-670128.8011270645
1,47,-38361.70138112662,122.0,-31.26390604565689,-38452.437475080966
1,48,-1117206.5560840631,201.0,-46.83737108250394,-1117360.7187129806
1,49,-138781.39370555882,142.0,-46.94265800971189,-138876.4510475491
1,,-12972858.680223081,125.0,-43.682507624792564,-12972939.997715456
1,,-158792.7178702583,156.0,-37.13727662162759,-158911.58059363667
1,,-1723893.8002922891,174.0,-45.61158753866517,-1724022.1887047505
1,,-954.6058110200129,246.0,41.88187071785155,-1242.4876817378645
1,,-364066.6276318439,142.0,-35.48573985083103,-364173.14189199306
1,,-1475230.6553410648,116.0,-24.846300648796042,-1475321.809040416
1,,-85385.06208650036,501.0,-16.62514405570683,-85869.43694244465
1,,-1222022.4093206774,108.0,-53.538912332524326,-1222076.8704083448
1,,-67705.27748388011,116.0,-39.34985100087118,-67781.92763287925
1,,-18005.493167075503,143.0,-44.21093439220003,-18104.282232683305
1,,100.42143789090643,147.0,-41.98067563447677,-4.5978864746168
1,,-2573422.336922071,136.0,-63.073821842324776,-2573495.2631002287
1,,-440920.1071493025,270.0,-40.683379174761576,-441149.42377012776
1,,-321627.78875212424,116.0,-31.34512434738197,-321712.44362777687
1,,-2866560.844762213,144.0,-49.17416259140034,-2866655.6705996217
1,,-1831526.880606351,135.0,-34.840578474472515,-1831627.0400278764
1,,-339502.21212796436,177.0,-46.938651437532414,-339632.27347652684
1,,-17422.50754250677,186.0,40.48214998182059,-17648.98969248859
