generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-569.6654868084429,105.0,-53.25345842506811,-10.583487884329362,-610.8285404990454
0,1,-944.417849261417,80.5,-68.3960852250803,-9.391145917450181,-947.1306181188866
0,2,-788.156360371452,65.5,-43.75271989920197,-6.010464459789567,-803.8931760124605
0,3,-280.851133695275,85.0,-42.280090886696954,-7.427000117399404,-316.14404269117864
0,4,-261.9719749590578,49.0,-23.085471548032796,-4.590061306605637,-283.2964421044193
0,5,-0.4363236407201114,65.5,-39.776138837649064,-7.037251589661945,-19.1229332134091
0,6,-134.64897457056955,60.0,-21.944354470715872,-5.013444692445997,-167.69117540740768
0,7,-198.77105610207423,77.0,-27.263148770430654,-7.232677169224988,-241.27523016241858
0,8,-422.770823809739,61.0,-40.80147030663843,-6.385599903626987,-436.5837535994736
0,9,-314.372855102694,116.5,2.4251813127766475,-12.212845142813116,-421.08519127265754
0,10,-74.80981720779943,57.0,-30.403199715380737,-5.499392867802834,-95.90722462461586
0,11,-976.8083470889206,68.0,-25.46833310699954,-5.9487265543394905,-1013.3912874275816
0,12,-697.5637814129769,83.5,-52.55407161899941,-7.8865765550515485,-720.623133238926
0,13,-105.01255223645518,89.0,-54.37643469528789,-9.159655460296463,-130.47646208087082
0,14,-320.57526752968465,56.0,-27.77603315738259,-4.9851863488989645,-343.8140480234031
0,15,-533.1287968572568,74.0,-42.76313320500225,-7.057848489102423,-557.3078151631521
0,16,-375.75634814815635,72.5,-51.19190384741694,-7.708737676290085,-389.35570662444934
0,17,-578.2670523576473,152.5,-93.77930542902617,-19.093842583740575,-617.8939043448806
0,18,18.211086526207566,102.5,49.15286074438333,-12.269455277908412,-121.17231894026736
0,19,-69.24136941739886,77.0,-52.10600977960797,-8.339362480062935,-85.79599715772795
0,20,-528.8467704508696,83.5,-46.35397603457009,-9.286872443502547,-556.705921972797
0,21,-275.1449170994315,105.5,-44.9247593269556,-10.434338282694974,-325.2858194897809
0,22,-272.5263152450106,57.5,40.978038458280494,-5.264272192798051,-365.74008151049304
