generation,specimen_id,total_fitness,alive_bonus,speed
0,0,155.81022370157189,195.0,-39.18977629842811
0,1,107.6781015399915,156.0,-48.3218984600085
0,2,166.40798588410246,227.0,-60.592014115897534
0,3,139.86520256651343,181.0,-41.13479743348656
0,4,78.0519931371366,106.0,-27.948006862863398
0,5,73.61219248872646,107.0,-33.38780751127354
0,6,99.76059779973994,150.0,-50.23940220026005
0,7,236.62381641806672,177.0,59.62381641806671
0,8,68.66025639228221,92.0,-23.339743607717796
0,9,119.75363873831304,168.0,-48.24636126168696
0,10,189.15817632235442,234.0,-44.84182367764558
0,11,131.13698764000742,160.0,-28.86301235999258
0,12,78.08079066734504,125.0,-46.91920933265495
0,13,73.48397597486121,105.0,-31.516024025138794
0,14,79.8543186933433,135.0,-55.1456813066567
0,15,252.73356785283568,215.0,37.73356785283569
0,16,134.858573915458,163.0,-28.14142608454198
0,17,109.73045986692418,142.0,-32.26954013307583
0,18,142.25799563591582,169.0,-26.74200436408417
0,19,189.1820787251286,235.0,-45.81792127487139
0,20,105.54387179559802,153.0,-47.45612820440197
0,21,123.40710911114039,133.0,-9.59289088885962
0,22,318.3669655079345,321.0,-2.6330344920655033
0,23,88.95355221180506,123.0,-34.04644778819494
0,24,106.3439648255755,160.0,-53.6560351744245
0,25,124.04734141383652,169.0,-44.95265858616348
0,26,94.03917129453875,150.0,-55.96082870546125
0,27,85.06567736002924,120.0,-34.93432263997076
0,28,60.498657940197816,130.0,-69.50134205980218
0,29,73.94227749271472,100.0,-26.057722507285277
0,30,94.07216112980927,148.0,-53.92783887019072
0,31,162.95590661130313,221.0,-58.044093388696865
0,32,135.30200718606886,162.0,-26.697992813931144
0,33,218.8419146095689,262.0,-43.1580853904311
0,34,68.07626324941671,122.0,-53.92373675058329
0,35,103.10893887925062,153.0,-49.89106112074938
0,36,303.18673615265084,292.0,11.186736152650866
0,37,115.80938578340084,166.0,-50.19061421659916
0,38,186.88558113535254,241.0,-54.114418864647455
0,39,165.6327114151342,202.0,-36.367288584865804
0,40,93.49700392000486,144.0,-50.50299607999514
0,41,100.59685509327906,151.0,-50.40314490672093
0,42,109.09943931532209,152.0,-42.90056068467791
0,43,80.36222742258411,142.0,-61.63777257741588
0,44,95.66327635508975,142.0,-46.33672364491025
0,45,493.7539468456464,501.0,-7.246053154353614
0,46,106.31461933739467,151.0,-44.68538066260533
0,47,132.27651432463816,156.0,-23.723485675361832
0,48,90.42738017516932,160.0,-69.57261982483068
0,49,113.45410294323347,168.0,-54.54589705676653
0,,89.75860858024515,151.0,-61.24139141975484
0,,238.98427874310306,276.0,-37.015721256896946
0,,137.55802636454794,189.0,-51.44197363545205
0,,83.4220930326706,145.0,-61.5779069673294
0,,80.70021343653173,145.0,-64.29978656346827
0,,76.10623414074682,129.0,-52.89376585925318
0,,95.32658509402549,133.0,-37.67341490597451
0,,186.88558113535254,241.0,-54.114418864647455
0,,140.84332812742693,168.0,-27.15667187257306
0,,129.9737788229658,165.0,-35.02622117703419
0,,299.34489742190175,258.0,41.344897421901756
0,,160.00260966317546,198.0,-37.99739033682452
0,,122.41259106303056,157.0,-34.58740893696944
0,,111.82938675673365,168.0,-56.170613243266345
0,,117.51236171098944,153.0,-35.48763828901056
0,,98.69735697655963,146.0,-47.30264302344036
0,,114.31364247691359,162.0,-47.686357523086414
0,,209.34345855323863,181.0,28.343458553238634
0,,157.21741657797935,203.0,-45.782583422020664
0,,83.21523911319522,121.0,-37.784760886804776
0,,130.52291101708067,160.0,-29.477088982919316
0,,77.35277693798376,110.0,-32.64722306201624
0,,113.06476534349729,158.0,-44.935234656502715
0,,130.20782835855596,156.0,-25.792171641444057
0,,111.66076304218498,145.0,-33.339236957815025
1,25,91.27198390256072,148.0,-56.72801609743927
1,26,219.3713998180894,185.0,34.371399818089394
1,27,219.28689162968257,207.0,12.286891629682565
1,28,142.36992515207817,194.0,-51.63007484792183
1,29,118.84812102889255,196.0,-77.15187897110745
1,30,169.1246642024821,209.0,-39.875335797517884
1,31,128.67990342490728,175.0,-46.32009657509272
1,32,123.64672724865282,155.0,-31.35327275134718
1,33,110.96712163440412,164.0,-53.032878365595884
1,34,91.08072893192809,118.0,-26.919271068071907
1,35,85.82953343563645,144.0,-58.170466564363544
1,36,128.38347356068408,175.0,-46.616526439315926
1,37,109.97521019447251,148.0,-38.02478980552749
1,38,105.04217355965696,174.0,-68.95782644034304
1,39,99.04017602147825,147.0,-47.959823978521754
1,40,90.04995936062987,167.0,-76.95004063937013
1,41,95.57575973711596,136.0,-40.42424026288405
1,42,180.62540719147466,174.0,6.625407191474659
1,43,152.46328092285916,185.0,-32.53671907714085
1,44,89.70963741666674,123.0,-33.290362583333255
1,45,96.16680250904294,136.0,-39.83319749095706
1,46,95.63842272933744,148.0,-52.36157727066256
1,47,104.41906553984238,147.0,-42.58093446015762
1,48,159.0604117433649,194.0,-34.939588256635076
1,49,261.6081244522348,229.0,32.60812445223477
1,,254.71335610466522,287.0,-32.286643895334784
1,,202.2494197431331,238.0,-35.7505802568669
1,,107.12414583565175,156.0,-48.875854164348254
1,,109.18794372069387,173.0,-63.812056279306134
1,,108.51588048437408,200.0,-91.48411951562592
1,,109.17566945435993,161.0,-51.82433054564006
1,,77.75642430726064,109.0,-31.243575692739356
1,,222.12967211246334,247.0,-24.87032788753666
1,,100.6737935510149,126.0,-25.3262064489851
1,,143.81305629888897,198.0,-54.18694370111103
1,,493.7539468456464,501.0,-7.246053154353614
1,,130.72372235716855,151.0,-20.276277642831452
1,,426.13806679527045,501.0,-74.86193320472955
1,,152.46328092285916,185.0,-32.53671907714085
1,,91.08540755136931,148.0,-56.91459244863068
1,,137.50637190067644,188.0,-50.493628099323566
1,,95.82096174882165,131.0,-35.17903825117836
1,,131.922565494085,181.0,-49.07743450591499
1,,100.96055687611107,170.0,-69.03944312388893
1,,105.553273279669,132.0,-26.446726720331004
1,,96.0684655375862,157.0,-60.9315344624138
1,,77.74110365889503,146.0,-68.25889634110497
1,,131.13698764000742,160.0,-28.86301235999258
1,,110.75082141804803,160.0,-49.249178581951966
1,,104.25040828077819,149.0,-44.74959171922181
2,25,407.07654924956336,411.0,-3.923450750436647
2,26,259.84728469873875,224.0,35.847284698738754
2,27,218.95224887650468,249.0,-30.04775112349531
2,28,236.6852122052359,208.0,28.685212205235892
2,29,210.5552588347715,184.0,26.5552588347715
2,30,153.8053181237333,172.0,-18.194681876266728
2,31,83.33824859782555,125.0,-41.66175140217444
2,32,84.21294817851587,132.0,-47.78705182148413
2,33,119.1399098794056,159.0,-39.8600901205944
2,34,69.53123885179112,117.0,-47.468761148208884
