generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,-409.70861339876666,87.0,-52.97569125301825,-8.982210724909782,-434.7507114208386
0,1,-15.678273038259576,100.5,22.490591670463594,-8.001843946790773,-130.6670207619324
0,2,27.216728497363157,77.0,-32.73755361398292,-6.582688835763093,-10.46302905289083
0,3,-379.49026299593663,63.0,-40.83339938480746,-6.389064666419229,-395.26779894470997
0,4,-513.2974076009976,73.5,-26.797480190193642,-7.288421302254735,-552.7115061085493
0,5,-84.94540562290092,96.0,-38.843602428691106,-10.3603531513381,-131.74145004287172
0,6,-120.58800040360403,65.0,-52.66815328624356,-6.421639796535976,-126.49820732082449
0,7,-165.6463573276393,81.5,35.71249682629737,-7.264287190526883,-275.59456696340976
0,8,-700.0690398587327,65.0,-46.95775722122388,-6.616022067098706,-711.4952605704101
0,9,79.62875007212668,112.0,-18.132486457974405,-9.898178052011565,-4.34058541788736
0,10,-418.37832615035376,64.0,-42.8039633845668,-5.977845579769192,-433.59651718601776
0,11,-532.9229455908551,82.0,-36.48046320215398,-8.180879307549178,-570.261603081152
0,12,-81.22599544379986,62.0,-54.52043682460167,-6.7560134986882705,-81.94954512050992
0,13,-12.49310607539968,81.0,-43.03571203010223,-8.201852452023054,-42.255541593274394
0,14,-115.56749028358884,114.5,-49.227600179379856,-9.821801099181029,-171.01808900502795
0,15,-336.49840142892333,81.0,26.757437331277295,-8.657841300680555,-435.59799745952006
0,16,-391.35162717349687,76.5,-41.026919795902586,-7.517578508619538,-419.30712886897476
0,17,-629.829114945875,73.0,-40.97712877684619,-8.122207715631104,-653.7297784533977
0,18,-160.25142829498407,72.5,-33.10174979908872,-7.786912104119973,-191.86276639177538
0,19,-198.82471763943187,138.0,18.452450996280355,-13.423114147989885,-341.85405448772235
0,20,-82.15075960594102,95.0,-55.68384872023089,-9.07445980226603,-112.3924510834441
0,21,-388.927937115871,86.0,-31.37128751282908,-8.341922776350316,-435.21472682669156
0,22,-191.6734030334655,89.0,-46.854528934541875,-9.286504107060752,-224.53236999186285
0,23,-721.2231939703082,79.0,-65.13652691860071,-9.169705611178713,-725.9169614405288
0,24,-171.3112134317818,69.0,-51.5301109359971,-6.649398859339555,-182.13170363644514
0,25,-274.42017701071757,70.5,35.142418593526706,-6.53803082862079,-373.5245647756235
0,26,-113.3726457812135,70.0,31.978521154454,-6.400019090508963,-208.95114784515854
0,27,-76.15445587060039,93.0,-68.1823795770138,-10.01190784180807,-90.96016845177851
0,28,-166.55933131160748,118.0,-86.94676397089745,-11.539141768986335,-186.0734255717237
0,29,-399.465272694139,71.5,-50.93455566928894,-7.706445168192044,-412.324271856658
0,30,-534.6615555268161,46.0,-27.01113306625399,-4.238028879009001,-549.412393581553
0,31,-778.034782765648,69.0,-41.06819971578073,-7.71681157275054,-798.2497714771167
0,32,-13.169122832887489,101.5,-37.24046120345742,-10.436542565790353,-66.99211906363972
0,33,-44.42010507939458,78.5,-41.55090142246483,-8.291971545134748,-73.077232111795
0,34,-248.34855065846511,96.0,-56.492671747693386,-10.772580993772202,-277.0832979169995
0,35,-10.645952248797158,162.0,-35.369461128575075,-17.729832597630665,-119.54665852259143
0,36,-618.063924887341,94.0,27.450156118627596,-7.839981734070064,-731.6740992718986
0,37,-249.50556158995175,79.0,-55.24571951743939,-8.668806829360165,-264.5910352431522
0,38,-28.457199201709955,84.0,-62.98464632257438,-9.8232804302622,-39.649272448873376
0,39,-15.148440989796008,77.0,-49.18786846516764,-7.147662020375868,-35.8129105042525
0,40,-191.0706025109743,106.5,-43.15132653079554,-10.113462226752516,-244.30581375342626
0,41,-147.94687786841507,84.5,-43.007623671809526,-7.858855315768439,-181.5803988808371
0,42,-52.31915921968437,93.0,-38.696661498044826,-9.307494031909071,-97.31500368973047
0,43,-7.375006228995005,62.0,-44.32778659541964,-6.748730851109063,-18.298488782466304
0,44,-262.64515262806236,74.0,-59.34674028840399,-7.996945446459047,-269.30146689319935
0,45,-548.7780094439798,81.5,-40.15208660221469,-7.565136951138031,-582.5607858906271
0,46,-215.1228912697315,113.5,11.885462589386409,-12.186738513761794,-328.3216153453561
0,47,-130.78640705557297,105.5,-5.679970098710719,-8.362558643040215,-222.24387831382202
0,48,-303.99367230843256,70.5,-39.35066521736633,-7.05699227089556,-328.0860148201707
0,49,-194.89471204695909,67.0,-38.548621371871505,-5.781180525184949,-217.56491014990263
0,,-210.79890319468703,69.0,-48.052983394430576,-6.606426480498978,-225.13949331975746
0,,-397.90496102751786,54.5,-24.954912315264526,-4.850046605291817,-422.60000210696154
0,,-100.99114240884371,73.0,-64.74939112804192,-7.392878137157883,-101.84887314364391
0,,-58.49215606709815,75.5,-59.02388552519863,-8.4388103628523,-66.52946017904722
0,,-326.127445885495,91.0,-61.507350282055356,-10.146827675715489,-345.4732679277241
0,,-455.8849818278386,93.5,-58.50175569347282,-10.07678365286329,-480.8064424815025
0,,-502.122809853249,118.5,-32.27598516603837,-9.92299086003812,-578.4238338271725
0,,-753.1843025454691,68.5,-58.193837022919084,-8.00432194541087,-755.4861435771392
0,,-306.10612933571815,76.5,-43.833891288799315,-7.859612660486882,-330.91262538643196
0,,-127.11659351566843,83.0,-41.89295562534465,-9.276911728722474,-158.9467261616013
0,,-400.44638249748607,83.0,-49.291255257360405,-8.171539472982403,-425.98358776714326
0,,-442.61695307203536,86.5,-40.093117223104144,-8.354159050446281,-480.66967679848494
0,,-45.14263529679171,89.0,-74.00766576735664,-9.88617112811474,-50.24879840132033
0,,-94.4267090060397,101.5,21.589750468258394,-8.970836136923328,-208.54562333737476
0,,-202.79068577860286,96.5,-47.832397895240995,-9.812464361199645,-241.64582352216223
0,,-537.748502185814,71.0,-35.019207622549494,-6.8611265952304,-566.8681679680341
0,,-130.48331368771053,84.5,-46.73477379777963,-8.951973306825538,-159.29656658310537
0,,-302.5198791937979,77.5,-40.996433082570945,-8.28946601436795,-330.733980096859
0,,-51.06142675822998,63.5,-55.771625594397,-7.201834060355395,-51.58796710347758
0,,-122.83921551620404,99.5,-71.06327670551259,-11.980793812904672,-139.29514499778676
0,,-389.8505512035573,73.5,-55.20607446405559,-7.436077268905639,-400.7083994705961
0,,-108.6233004289312,99.0,-42.28292114746739,-10.341992616993016,-154.9983866644708
0,,-183.87615420519856,85.5,-47.06498204691324,-8.497363527198333,-213.813808631087
0,,-5.42544183307513,49.0,-18.36590491876793,-5.248085165413902,-30.811451748893298
0,,-422.7193121903464,73.0,-56.689435416672154,-7.082903586969047,-431.9469731867052
1,25,18.00591590602404,80.0,-46.76654049169086,-8.235078513964554,-6.992465088320547
1,26,-349.3994989165401,47.0,-24.683027971728215,-3.904982343022814,-367.81148860178905
1,27,-122.72238805290228,81.0,-55.694104276162136,-8.27687786506216,-139.75140591167798
1,28,-437.9726315955867,65.5,-55.11047583842995,-7.147558439361852,-441.21459731779487
1,29,26.251974619352794,83.5,30.783030998700774,-9.255137786080285,-78.7759185932677
1,30,-218.93232857247872,77.5,-53.380889827960594,-7.709482984497911,-235.34195576002023
1,31,-157.04753751531192,98.0,-41.785786439769474,-9.049426702739202,-204.21232437280324
1,32,-275.5458874716909,77.5,-50.23053494428318,-8.376337488374121,-294.43901503903356
1,33,115.76143052748881,107.5,26.37064930075704,-10.955848908515165,-7.1533698647530635
1,34,-487.88186938849225,66.0,-44.86673853750651,-7.571290424273631,-501.4438404267121
1,35,-217.06975611557152,77.0,-36.45342135843604,-7.1946482781505745,-250.4216864789849
1,36,-27.622113215461063,90.5,-19.45255544974297,-9.022860458501048,-89.64669730721704
1,37,-203.77213234110258,134.5,27.01046805062732,-14.899701708201581,-350.3828986835283
1,38,-395.2794171517814,89.0,12.698813161414506,-7.808555623086159,-489.16967469010973
1,39,-235.69272205875322,78.5,-38.58337569915702,-7.934667465046567,-267.67467889454963
1,40,-250.90167649885927,72.0,-20.0789973905419,-6.985526532563556,-295.8371525757538
1,41,-429.87379908819355,95.5,-46.42679614839161,-9.352978986233243,-469.5940239535687
1,42,-752.5499561162884,106.5,-64.48330281826442,-9.748009289900455,-784.8186440081236
1,43,-461.44833746690995,70.5,-62.47234489531945,-7.839913068812291,-461.6360795027782
1,44,1.5840599612997082,116.5,-73.17026321998199,-13.811635312858757,-27.934041505859547
1,45,-864.5114778629982,94.5,-66.0583679561632,-10.752031579520036,-882.2010783273149
1,46,163.8388762702158,250.5,2.377695553941398,-26.150990800096782,-62.88782848362882
1,47,-98.46410314997748,78.0,-50.72651112388083,-7.997569113052232,-117.74002291304441
1,48,-54.83859890362932,59.5,-32.32780730208378,-6.728619525606738,-75.2821720759388
1,49,-201.00555637455665,121.5,-31.193338936884242,-9.209417356364368,-282.10280008130803
1,,-41.424017569314394,84.5,-27.118948047506954,-6.679286766302598,-92.12578275550484
1,,-349.47846046513314,64.0,-37.476808706173216,-6.2130832523480235,-369.7885685066119
1,,-229.27129173746195,94.5,52.21946745517109,-7.542979952573368,-368.4477792400597
1,,-492.6661927656287,83.5,33.04455961980292,-9.759613208979307,-599.4511391764523
1,,-265.05977664884745,62.5,-58.82013662123748,-6.384543661109577,-262.3550963665004
1,,-721.3402127102471,60.0,-34.58033499973379,-5.6363727793930565,-741.1235049311202
1,,-4.043468631659728,85.5,-35.54058469485775,-9.048384143686777,-44.954499793115204
1,,-281.1098270267359,130.0,-53.093007808032255,-14.061126423687679,-343.955692795016
1,,-707.460220172596,68.5,-40.94612873611301,-7.142008707195079,-727.8720827292879
1,,-370.01990503693247,79.0,-49.90808682812834,-8.554219094459235,-390.5575991143449
1,,-194.83445685073747,71.0,-46.45490413195565,-7.539462059293305,-211.8400906594885
1,,16.755948955723607,106.5,-57.79353337450239,-8.768742716634181,-23.181774953139826
1,,-128.92529077459406,83.0,-47.038392752225526,-8.519978577544093,-156.36691944482445
1,,-365.89001774043635,66.5,-31.250673120204866,-5.751473723817638,-395.38787089641386
1,,89.93124723625553,138.0,30.415255149862855,-15.793010231165807,-62.69099768244153
1,,-137.94946974352155,64.0,-73.53180047409691,-6.765912915462904,-121.65175635396173
1,,-78.87036506129274,66.5,-33.943312744601116,-7.074376621557926,-104.35267569513371
1,,58.23894266602203,113.5,-44.979827556631115,-10.254763380156541,-0.026466397190324644
1,,-667.9498216747547,126.5,-65.72378185703126,-12.649702102377969,-716.0763377153455
1,,-395.0597288265609,85.0,-41.74917947289776,-9.700165936030285,-428.6103834176329
1,,-514.9333125723093,83.5,-44.48666608146607,-7.407178478127329,-546.5394680127159
1,,-6.892165694656299,100.5,11.982117728000981,-8.770314228591957,-110.60396919406533
1,,-284.99809958081767,61.5,-30.11664959759308,-6.768035186720368,-309.61341479650423
1,,128.3917077803119,139.0,15.913373718441278,-11.374773665350508,-15.146892272778883
1,,-49.260798923843915,81.0,-48.007911667817986,-7.533661865855563,-74.71922539017037
2,25,-157.05127441622625,195.0,30.26001015943405,-19.01614829921739,-363.2951362764429
2,26,-370.4258322719234,59.0,-40.801120266048585,-5.49526866565976,-383.12944334021506
2,27,-728.8094250300071,111.5,-33.30278432991766,-12.155865511786866,-794.8507751883026
2,28,12.922610781114258,102.0,47.62179483535027,-12.41128805019381,-124.28789600404221
2,29,-460.0535423060932,50.0,-44.283885303272776,-5.4420885956447,-460.32756840717576
2,30,-105.28592931864587,115.5,-57.7719893375966,-13.034327277136885,-149.97961270391238
2,31,-315.7645976203189,83.0,-42.28601063159469,-9.150827541946954,-347.3277594467773
2,32,-133.1367928943733,107.5,39.385794354498806,-11.859147695993128,-268.16343955287897
2,33,-492.4619525425042,74.5,-51.343947158273195,-7.949731259235743,-507.66827412499526
2,34,-192.66388321737355,81.5,-48.60138854639829,-8.9126263903104,-216.64986828066486
2,35,11.937889200916594,71.0,-43.52892774392894,-7.3413074143439605,-8.191875640810508
2,36,84.48889413388375,137.5,-3.5340675735074014,-13.990334196000473,-35.48670409660838
2,37,40.41576605446407,92.5,13.883019378391369,-8.04956489311156,-57.91768843081573
2,38,-534.0588343274923,85.5,-52.53246451147919,-9.437329784447046,-557.589040031566
2,39,-29.38811820965013,118.0,-23.910320163177683,-13.51512257415076,-109.96267547232168
2,40,-105.4993591996828,58.0,-59.411519674476864,-6.058057479079304,-98.02978204612663
2,41,-527.6511048566481,73.5,-42.79842722650098,-7.934135428316259,-550.4185422018309
